typeEquipementId;typeEquipementLibelle;equipementVideo
1;Eclairage;https://youtu.be/dQw4w9WgXcQ
2;Réfrigirateur;
3;Lave vaiselle;https://youtu.be/dQw4w9WgXcQ
4;Machine à laver;https://youtu.be/dQw4w9WgXcQ
5;Sèche linge;
6;Grille pain;https://youtu.be/dQw4w9WgXcQ
7;Micro-onde;
8;Autre petit éléctroménager;https://youtu.be/dQw4w9WgXcQ
9;Autre gros éléctroménager;
10;Radiateur;
11;Pompe à chaleur;https://youtu.be/dQw4w9WgXcQ
12;Poêle à bois;
13;Gazinière;
14;Plaque vitrocéramique;https://youtu.be/dQw4w9WgXcQ
15;Ordinateur;
16;Console de jeu;https://youtu.be/dQw4w9WgXcQ
17;Autre;https://youtu.be/dQw4w9WgXcQ
18;Four;
